"","event_types_summary"
"TSTM WIND",63235
"THUNDERSTORM WIND",43655
"TORNADO",39944
"HAIL",26130
"FLASH FLOOD",20967
"LIGHTNING",13293
"THUNDERSTORM WINDS",12086
"FLOOD",10175
"HIGH WIND",5522
"STRONG WIND",3372
"WINTER STORM",1508
"HEAVY SNOW",1342
"HEAVY RAIN",1105
"WILDFIRE",857
"ICE STORM",708
"URBAN/SML STREAM FLD",702
"EXCESSIVE HEAT",698
"HIGH WINDS",657
"TSTM WIND/HAIL",441
"TROPICAL STORM",416
"WINTER WEATHER",407
"RIP CURRENT",400
"WILD/FOREST FIRE",388
"FLASH FLOODING",302
"FLOOD/FLASH FLOOD",279
"AVALANCHE",268
"DROUGHT",266
"BLIZZARD",253
"RIP CURRENTS",241
"HEAT",215
"EXTREME COLD",199
"LAKE-EFFECT SNOW",194
"LANDSLIDE",193
"STORM SURGE",177
"COASTAL FLOOD",168
"LIGHT SNOW",141
"URBAN FLOOD",139
"WINTER WEATHER/MIX",139
"HIGH SURF",136
"HURRICANE",129
"FROST/FREEZE",117
"EXTREME COLD/WIND CHILL",111
"MARINE TSTM WIND",109
"FOG",107
"RIVER FLOOD",107
"DUST STORM",103
"DUST DEVIL",95
"COLD/WIND CHILL",90
"WIND",84
"URBAN FLOODING",80
"DRY MICROBURST",78
"DENSE FOG",74
"HURRICANE/TYPHOON",72
"COASTAL FLOODING",61
"FLOODING",58
"SNOW",54
"STRONG WINDS",52
"HEAVY SURF/HIGH SURF",50
"STORM SURGE/TIDE",47
"WATERSPOUT",47
"MARINE STRONG WIND",46
"THUNDERSTORM WINDS HAIL",40
"COLD",38
"FREEZING RAIN",36
"TSTM WIND (G45)",36
"HEAT WAVE",35
"TROPICAL DEPRESSION",35
"OTHER",34
"THUNDERSTORM WINDSS",34
"MARINE THUNDERSTORM WIND",33
"GUSTY WINDS",32
"HEAVY SURF",32
"EXCESSIVE SNOW",25
"ICE",24
"ICY ROADS",22
"LIGHT FREEZING RAIN",22
"THUNDERSTORM WINDS/HAIL",22
"GLAZE",21
"HEAVY SNOW SQUALLS",21
"HEAVY RAINS",20
"EXTREME WINDCHILL",19
"MARINE HIGH WIND",19
"THUNDERSTORM",19
"FREEZE",18
"MIXED PRECIPITATION",18
"RIVER FLOODING",18
"WINDS",18
"EXTREME HEAT",17
"FLASH FLOOD/FLOOD",16
"SNOW SQUALL",16
"HEAVY SNOW-SQUALLS",15
"TSUNAMI",14
"FLASH FLOODS",13
"FUNNEL CLOUD",13
"GUSTY WIND",13
"SNOW SQUALLS",12
"SMALL HAIL",11
"DROUGHT/EXCESSIVE HEAT",10
"SNOW FREEZING RAIN",10
"(Other)",693
